Repository,Issue Title,Issue URL
CRBS/cdeep3m,"How to input muti-channel label image,such as(width*height*channel) and How to use label_class_selection.prototxt",https://github.com/CRBS/cdeep3m/issues/77
hcji/PyFingerprint,java.lang.NullPointerException: java.lang.NullPointerException: atom has unset atom type,https://github.com/hcji/PyFingerprint/issues/9
XinshaoAmosWang/ProSelfLC-AT,tabular data/ noisy instances ,https://github.com/XinshaoAmosWang/ProSelfLC-AT/issues/9
XinshaoAmosWang/ProSelfLC-AT,Further research: Not All Knowledge Is Created Equal https://arxiv.org/abs/2106.01489,https://github.com/XinshaoAmosWang/ProSelfLC-AT/issues/2
imperial-qore/COSCO,Deadline for the Task can be add in the simulator,https://github.com/imperial-qore/COSCO/issues/21
imperial-qore/COSCO,opera_tosca_parser.error.ParseError: [NodeTemplate] Missing requirements: host.,https://github.com/imperial-qore/COSCO/issues/19
imperial-qore/COSCO,hot-fix scienceplot library new requirement,https://github.com/imperial-qore/COSCO/pull/18
imperial-qore/COSCO,Fix the Joule to kWh conversion issue,https://github.com/imperial-qore/COSCO/pull/16
imperial-qore/COSCO,Fix python version checker,https://github.com/imperial-qore/COSCO/pull/15
debrajhyper/Topic_Learning_Resources,Added node in Backend Frameworks/Library,https://github.com/debrajhyper/Topic_Learning_Resources/pull/228
debrajhyper/Topic_Learning_Resources,feat: Add e-books to list,https://github.com/debrajhyper/Topic_Learning_Resources/pull/227
debrajhyper/Topic_Learning_Resources,Add DSA Resources,https://github.com/debrajhyper/Topic_Learning_Resources/issues/224
debrajhyper/Topic_Learning_Resources,Add flutter resources,https://github.com/debrajhyper/Topic_Learning_Resources/issues/217
debrajhyper/Topic_Learning_Resources,Add DevOps resources,https://github.com/debrajhyper/Topic_Learning_Resources/issues/201
debrajhyper/Topic_Learning_Resources,Add Cloud Computing resources,https://github.com/debrajhyper/Topic_Learning_Resources/issues/199
debrajhyper/Topic_Learning_Resources,Updated Readme file,https://github.com/debrajhyper/Topic_Learning_Resources/pull/194
debrajhyper/Topic_Learning_Resources,Added 3 more Learning Resources in README.md,https://github.com/debrajhyper/Topic_Learning_Resources/pull/188
debrajhyper/Topic_Learning_Resources,Create PULL_REQUEST_TEMPLATE.md,https://github.com/debrajhyper/Topic_Learning_Resources/pull/180
debrajhyper/Topic_Learning_Resources,Added Flutter Bootcamp 2022 by Ayngela Yu,https://github.com/debrajhyper/Topic_Learning_Resources/pull/173
debrajhyper/Topic_Learning_Resources,added e books ,https://github.com/debrajhyper/Topic_Learning_Resources/pull/166
debrajhyper/Topic_Learning_Resources,Systemdesign,https://github.com/debrajhyper/Topic_Learning_Resources/pull/162
debrajhyper/Topic_Learning_Resources,Oops,https://github.com/debrajhyper/Topic_Learning_Resources/pull/161
debrajhyper/Topic_Learning_Resources,Added DSA notes,https://github.com/debrajhyper/Topic_Learning_Resources/pull/158
debrajhyper/Topic_Learning_Resources,"Notes for DSA, System Design, OOPs etc.",https://github.com/debrajhyper/Topic_Learning_Resources/issues/127
debrajhyper/Topic_Learning_Resources,Update README.md,https://github.com/debrajhyper/Topic_Learning_Resources/pull/126
debrajhyper/Topic_Learning_Resources,Create shubhsarthaksahu.md,https://github.com/debrajhyper/Topic_Learning_Resources/pull/93
debrajhyper/Topic_Learning_Resources,Added JS resource in frontend development,https://github.com/debrajhyper/Topic_Learning_Resources/pull/90
debrajhyper/Topic_Learning_Resources,Added DSA resource,https://github.com/debrajhyper/Topic_Learning_Resources/pull/89
debrajhyper/Topic_Learning_Resources,Adding E-Books,https://github.com/debrajhyper/Topic_Learning_Resources/issues/86
debrajhyper/Topic_Learning_Resources,Added Interview Preparation Sheets,https://github.com/debrajhyper/Topic_Learning_Resources/pull/84
debrajhyper/Topic_Learning_Resources,Added Solidity Resources,https://github.com/debrajhyper/Topic_Learning_Resources/pull/81
debrajhyper/Topic_Learning_Resources,added a website to the code games/competition section,https://github.com/debrajhyper/Topic_Learning_Resources/pull/79
debrajhyper/Topic_Learning_Resources,Python Fast API and Java Spring Boot Resources Added,https://github.com/debrajhyper/Topic_Learning_Resources/pull/78
debrajhyper/Topic_Learning_Resources,Adding interview preparation Sheets,https://github.com/debrajhyper/Topic_Learning_Resources/issues/75
tensorly/torch,Tensorized Matrices vs Factorized Tensors,https://github.com/tensorly/torch/issues/28
tensorly/torch,Adds BlockCP Tensorized Matrix and tests,https://github.com/tensorly/torch/pull/17
tensorly/torch,Support for ONNX export,https://github.com/tensorly/torch/issues/11
amd/ZenDNN,Support for Pytorch 2.x?,https://github.com/amd/ZenDNN/issues/8
amd/ZenDNN,Fixed typos in covolution in log messages,https://github.com/amd/ZenDNN/pull/7
amd/ZenDNN,Can I build PT_v1.12_ZenDNN_v4.0_source_code to obtain a pytorch with both zendnn cpu capability and cuda GPU capability at the same time? ,https://github.com/amd/ZenDNN/issues/6
amd/ZenDNN,Docker - Ubuntu 20.04 Docker File,https://github.com/amd/ZenDNN/pull/5
amd/ZenDNN,DLRM suggest benchmark,https://github.com/amd/ZenDNN/issues/4
amd/ZenDNN,Issue while setting up ZenDNN in conda container,https://github.com/amd/ZenDNN/issues/2
amd/ZenDNN,about zenMatMulSplit split strategy,https://github.com/amd/ZenDNN/issues/1
HamadYA/GhostFaceNets,Im trying to use the video_test.py but got error AttributeError: 'YoloV5FaceDetector' object has no attribute 'detect',https://github.com/HamadYA/GhostFaceNets/issues/24
HamadYA/GhostFaceNets,Slow inference,https://github.com/HamadYA/GhostFaceNets/issues/17
rundherum/pymia,[question] how to avoid ram buildup?,https://github.com/rundherum/pymia/issues/48
rundherum/pymia,"[feature request] flag for ""approximation"" of Hausdorff distance (and maybe also other metrics)",https://github.com/rundherum/pymia/issues/45
rundherum/pymia,Implement AverageDistance metric in numpy,https://github.com/rundherum/pymia/issues/36
rundherum/pymia,Add balanced average Hausdorff distance metric (bAHD),https://github.com/rundherum/pymia/issues/34
rundherum/pymia,GPU support for evaluation,https://github.com/rundherum/pymia/issues/33
rundherum/pymia,Verify integer data type of input for categorical metrics,https://github.com/rundherum/pymia/issues/32
rundherum/pymia,[feature request] Please add center line dice score to the evaluation pkg,https://github.com/rundherum/pymia/issues/25
rundherum/pymia,multiprocessing fails on windows,https://github.com/rundherum/pymia/issues/1
AlturosDestinations/Alturos.ImageAnnotation,Bump log4net from 2.0.8 to 2.0.10 in /src/Alturos.ImageAnnotation,https://github.com/AlturosDestinations/Alturos.ImageAnnotation/pull/29
AlturosDestinations/Alturos.ImageAnnotation,Add package didn't upload package to Amazon S3,https://github.com/AlturosDestinations/Alturos.ImageAnnotation/issues/28
AlturosDestinations/Alturos.ImageAnnotation,how to convert output to trained dataset,https://github.com/AlturosDestinations/Alturos.ImageAnnotation/issues/26
AlturosDestinations/Alturos.ImageAnnotation,Add key to prevent other boxes from being selected,https://github.com/AlturosDestinations/Alturos.ImageAnnotation/issues/24
AlturosDestinations/Alturos.ImageAnnotation,Fix Hotkeys for resizing clashing with UI,https://github.com/AlturosDestinations/Alturos.ImageAnnotation/issues/23
kimmo1019/Roundtrip,Bump tensorflow-gpu from 1.13.1 to 2.9.3,https://github.com/kimmo1019/Roundtrip/pull/12
NREL/nfp,Shree changes,https://github.com/NREL/nfp/pull/18
kailaix/ADSeismic.jl,variable density for acoustic waves ?,https://github.com/kailaix/ADSeismic.jl/issues/14
kailaix/ADSeismic.jl,unit for the Ricker in the AcousticWave.jl,https://github.com/kailaix/ADSeismic.jl/issues/13
kailaix/ADSeismic.jl,The error of run `invert_velocity_model`,https://github.com/kailaix/ADSeismic.jl/issues/4
kailaix/ADSeismic.jl,The error of building ADSeismic,https://github.com/kailaix/ADSeismic.jl/issues/3
kailaix/ADSeismic.jl,revisit add_source for GPUs,https://github.com/kailaix/ADSeismic.jl/issues/2
kailaix/ADSeismic.jl,Is basic functionality available for CPU?,https://github.com/kailaix/ADSeismic.jl/issues/1
jomjol/neural-network-digital-counter-readout,Images from Neptune T-10; Digits rotate DOWN instead of UP,https://github.com/jomjol/neural-network-digital-counter-readout/issues/22
jomjol/neural-network-digital-counter-readout,Digital Green LCD Reading - All Wrong,https://github.com/jomjol/neural-network-digital-counter-readout/issues/20
jomjol/neural-network-digital-counter-readout,Some Neural Network suggestions,https://github.com/jomjol/neural-network-digital-counter-readout/issues/14
jomjol/neural-network-digital-counter-readout,Gas meter images,https://github.com/jomjol/neural-network-digital-counter-readout/issues/13
nict-wisdom/rannc,modification of singularity.def,https://github.com/nict-wisdom/rannc/issues/11
saforem2/l2hmc-qcd,Packaging and PyPI distribution?,https://github.com/saforem2/l2hmc-qcd/issues/51
eora-ai/torchok,Add SwaV self-supervision method,https://github.com/eora-ai/torchok/pull/197
eora-ai/torchok,Welcome update to OpenMMLab 2.0,https://github.com/eora-ai/torchok/issues/193
eora-ai/torchok,Remove ability to specify multiple training dataloaders,https://github.com/eora-ai/torchok/issues/169
eora-ai/torchok,Dependencies installation didn't happen in CI/CD on a multi-commit PR,https://github.com/eora-ai/torchok/issues/162
eora-ai/torchok,Representation Metrics in DDP mode,https://github.com/eora-ai/torchok/issues/149
eora-ai/torchok,Tests for BEiT,https://github.com/eora-ai/torchok/issues/145
eora-ai/torchok,No examples configs inside TorchOk package,https://github.com/eora-ai/torchok/issues/106
eora-ai/torchok,Representation Metrics don't support bfloat16,https://github.com/eora-ai/torchok/issues/103
eora-ai/torchok,Does not find library paths when installing via pip install torchok,https://github.com/eora-ai/torchok/issues/101
eora-ai/torchok,Check read TIFF images,https://github.com/eora-ai/torchok/issues/99
eora-ai/torchok,SageMaker can't resume path from empty folder,https://github.com/eora-ai/torchok/issues/97
eora-ai/torchok,Add PML losses,https://github.com/eora-ai/torchok/issues/96
eora-ai/torchok,Write a SOP Task Tutorial,https://github.com/eora-ai/torchok/issues/93
eora-ai/torchok,Integrate loguru for most important parts of the code,https://github.com/eora-ai/torchok/issues/86
eora-ai/torchok,Scheduling of hyper parameters,https://github.com/eora-ai/torchok/issues/82
eora-ai/torchok,Separation of embedding layer and pooling needed,https://github.com/eora-ai/torchok/issues/74
eora-ai/torchok,Explore the possibility of adding Checkpoint Loader Mixins,https://github.com/eora-ai/torchok/issues/69
eora-ai/torchok,Why not add a new abstraction for different network topologies,https://github.com/eora-ai/torchok/issues/65
eora-ai/torchok,Add support for instantiating objects with hydra,https://github.com/eora-ai/torchok/issues/64
eora-ai/torchok,Add requirements for each component type in src/models,https://github.com/eora-ai/torchok/issues/63
eora-ai/torchok,Support command line params merging with .yaml,https://github.com/eora-ai/torchok/issues/62
eora-ai/torchok,Set up poetry,https://github.com/eora-ai/torchok/issues/61
eora-ai/torchok,Add DataModules,https://github.com/eora-ai/torchok/issues/60
eora-ai/torchok,Add testing,https://github.com/eora-ai/torchok/issues/59
YukeWang96/GNNAdvisor_OSDI21,Question about GCN/GIN forward propagation,https://github.com/YukeWang96/GNNAdvisor_OSDI21/issues/7
YukeWang96/GNNAdvisor_OSDI21,Can it run on the SOTA Nvidia A100,https://github.com/YukeWang96/GNNAdvisor_OSDI21/issues/5
YukeWang96/GNNAdvisor_OSDI21,Question: about ngs/partSize choosing,https://github.com/YukeWang96/GNNAdvisor_OSDI21/issues/4
YukeWang96/GNNAdvisor_OSDI21,Question: warp-based thread alignment,https://github.com/YukeWang96/GNNAdvisor_OSDI21/issues/1
kundajelab/chrombpnet,Detecting/quantifying motif interaction effects?,https://github.com/kundajelab/chrombpnet/issues/140
kundajelab/chrombpnet,Larger sample than population issue,https://github.com/kundajelab/chrombpnet/issues/138
kundajelab/chrombpnet,Update CHROMBPNET.py,https://github.com/kundajelab/chrombpnet/pull/136
kundajelab/chrombpnet,Update README.md,https://github.com/kundajelab/chrombpnet/pull/126
kundajelab/chrombpnet,AttributeError: module 'numpy' has no attribute 'object'.,https://github.com/kundajelab/chrombpnet/issues/125
kundajelab/chrombpnet,Revert to unix sort in reads_to_bigwig.py,https://github.com/kundajelab/chrombpnet/pull/106
DigitalGrainSize/SediNet,Error on conda_env,https://github.com/DigitalGrainSize/SediNet/issues/28
DigitalGrainSize/SediNet,Bump certifi from 2020.6.20 to 2022.12.7 in /conda_env,https://github.com/DigitalGrainSize/SediNet/pull/27
DigitalGrainSize/SediNet,Bump tensorflow from 2.2.0 to 2.9.3 in /conda_env,https://github.com/DigitalGrainSize/SediNet/pull/26
DigitalGrainSize/SediNet,Bump protobuf from 3.12.3 to 3.18.3 in /conda_env,https://github.com/DigitalGrainSize/SediNet/pull/25
DigitalGrainSize/SediNet,Bump pyjwt from 1.7.1 to 2.4.0 in /conda_env,https://github.com/DigitalGrainSize/SediNet/pull/23
DigitalGrainSize/SediNet,Bump django from 3.0.8 to 3.1.13 in /conda_env,https://github.com/DigitalGrainSize/SediNet/pull/19
DigitalGrainSize/SediNet,Bump urllib3 from 1.25.9 to 1.26.5 in /conda_env,https://github.com/DigitalGrainSize/SediNet/pull/15
DigitalGrainSize/SediNet,Bump pygments from 2.6.1 to 2.7.4 in /conda_env,https://github.com/DigitalGrainSize/SediNet/pull/11
DigitalGrainSize/SediNet,Bump pyyaml from 5.3.1 to 5.4 in /conda_env,https://github.com/DigitalGrainSize/SediNet/pull/10
DigitalGrainSize/SediNet,Error using sedinet_predict1image.py,https://github.com/DigitalGrainSize/SediNet/issues/8
DigitalGrainSize/SediNet,Images for README,https://github.com/DigitalGrainSize/SediNet/issues/1
guildai/_guild-legacy,Permission issue on docker container,https://github.com/guildai/_guild-legacy/issues/11
guildai/_guild-legacy,Check command,https://github.com/guildai/_guild-legacy/issues/9
guildai/_guild-legacy,Guild broken on Macs not using Homebrew,https://github.com/guildai/_guild-legacy/issues/8
guildai/_guild-legacy,DYLD_LIBRARY_PATH not visible when running guild train,https://github.com/guildai/_guild-legacy/issues/2
fvalka/atc-reinforcement-learning,Bump certifi from 2019.9.11 to 2022.12.7,https://github.com/fvalka/atc-reinforcement-learning/pull/54
fvalka/atc-reinforcement-learning,Bump pillow from 6.2.1 to 9.3.0,https://github.com/fvalka/atc-reinforcement-learning/pull/53
fvalka/atc-reinforcement-learning,Bump tensorflow from 1.15.0 to 2.9.3,https://github.com/fvalka/atc-reinforcement-learning/pull/52
fvalka/atc-reinforcement-learning,Bump tensorflow-gpu from 1.15.0 to 2.9.3,https://github.com/fvalka/atc-reinforcement-learning/pull/51
fvalka/atc-reinforcement-learning,Bump joblib from 0.14.0 to 1.2.0,https://github.com/fvalka/atc-reinforcement-learning/pull/50
fvalka/atc-reinforcement-learning,Bump protobuf from 3.10.0 to 3.18.3,https://github.com/fvalka/atc-reinforcement-learning/pull/49
fvalka/atc-reinforcement-learning,Bump mako from 1.1.0 to 1.2.2,https://github.com/fvalka/atc-reinforcement-learning/pull/48
fvalka/atc-reinforcement-learning,Bump nbconvert from 5.6.1 to 6.5.1,https://github.com/fvalka/atc-reinforcement-learning/pull/47
fvalka/atc-reinforcement-learning,Bump mistune from 0.8.4 to 2.0.3,https://github.com/fvalka/atc-reinforcement-learning/pull/45
fvalka/atc-reinforcement-learning,Bump codecov from 2.0.15 to 2.0.16,https://github.com/fvalka/atc-reinforcement-learning/pull/44
fvalka/atc-reinforcement-learning,Bump numpy from 1.17.4 to 1.22.0,https://github.com/fvalka/atc-reinforcement-learning/pull/43
fvalka/atc-reinforcement-learning,Bump notebook from 6.0.2 to 6.4.12,https://github.com/fvalka/atc-reinforcement-learning/pull/42
fvalka/atc-reinforcement-learning,Bump ipython from 7.9.0 to 7.16.3,https://github.com/fvalka/atc-reinforcement-learning/pull/32
fvalka/atc-reinforcement-learning,Bump opencv-python from 4.1.1.26 to 4.2.0.32,https://github.com/fvalka/atc-reinforcement-learning/pull/29
fvalka/atc-reinforcement-learning,Bump urllib3 from 1.24.2 to 1.26.5,https://github.com/fvalka/atc-reinforcement-learning/pull/23
fvalka/atc-reinforcement-learning,Bump rsa from 4.0 to 4.7,https://github.com/fvalka/atc-reinforcement-learning/pull/21
fvalka/atc-reinforcement-learning,Bump py from 1.8.0 to 1.10.0,https://github.com/fvalka/atc-reinforcement-learning/pull/20
fvalka/atc-reinforcement-learning,"How to eliminate ""invalid actions""",https://github.com/fvalka/atc-reinforcement-learning/issues/19
fvalka/atc-reinforcement-learning,Bump pygments from 2.4.2 to 2.7.4,https://github.com/fvalka/atc-reinforcement-learning/pull/18
fvalka/atc-reinforcement-learning,Bump pyyaml from 5.1.2 to 5.4,https://github.com/fvalka/atc-reinforcement-learning/pull/17
fvalka/atc-reinforcement-learning,Bump jinja2 from 2.10.3 to 2.11.3,https://github.com/fvalka/atc-reinforcement-learning/pull/15
fvalka/atc-reinforcement-learning,Bump bleach from 3.1.0 to 3.3.0,https://github.com/fvalka/atc-reinforcement-learning/pull/13
fvalka/atc-reinforcement-learning,Bump cryptography from 2.8 to 3.2,https://github.com/fvalka/atc-reinforcement-learning/pull/9
lacmus-foundation/lacmus-app,Filter bboxes by size,https://github.com/lacmus-foundation/lacmus-app/issues/146
lacmus-foundation/lacmus-app,new UI theme and main window interface,https://github.com/lacmus-foundation/lacmus-app/issues/122
lacmus-foundation/lacmus-app,Shrink image padding in preview,https://github.com/lacmus-foundation/lacmus-app/issues/117
lacmus-foundation/lacmus-app,Cancel long-running operations,https://github.com/lacmus-foundation/lacmus-app/issues/105
lacmus-foundation/lacmus-app,Use sharp-in to improve image fragments,https://github.com/lacmus-foundation/lacmus-app/issues/102
lacmus-foundation/lacmus-app,Аdd auto navigation of detect areas (bboxes),https://github.com/lacmus-foundation/lacmus-app/issues/65
lacmus-foundation/lacmus-app,Add hotkeys,https://github.com/lacmus-foundation/lacmus-app/issues/64
lacmus-foundation/lacmus-app,The filter is not applied when changing the original collection,https://github.com/lacmus-foundation/lacmus-app/issues/49
lacmus-foundation/lacmus-app,Write unit tests and make build pipelines using git actions.,https://github.com/lacmus-foundation/lacmus-app/issues/29
lacmus-foundation/lacmus-app,Developer documentation wiki update,https://github.com/lacmus-foundation/lacmus-app/issues/10
kmader/Quantitative-Big-Imaging-2018,Add Jeff Dean and Sanjay Story,https://github.com/kmader/Quantitative-Big-Imaging-2018/issues/24
kmader/Quantitative-Big-Imaging-2018,[JOSE review]: Learning objectives,https://github.com/kmader/Quantitative-Big-Imaging-2018/issues/21
kmader/Quantitative-Big-Imaging-2018,[JOSE Review]: Target audience,https://github.com/kmader/Quantitative-Big-Imaging-2018/issues/20
kmader/Quantitative-Big-Imaging-2018,add reference to Computer Vision Segmentation Slides,https://github.com/kmader/Quantitative-Big-Imaging-2018/issues/18
kmader/Quantitative-Big-Imaging-2018,Add 538 p-value link,https://github.com/kmader/Quantitative-Big-Imaging-2018/issues/14
kmader/Quantitative-Big-Imaging-2018,add references to more stats books,https://github.com/kmader/Quantitative-Big-Imaging-2018/issues/13
kmader/Quantitative-Big-Imaging-2018,replace montage,https://github.com/kmader/Quantitative-Big-Imaging-2018/issues/11
kmader/Quantitative-Big-Imaging-2018,Create 11-DAGsInTF.ipynb,https://github.com/kmader/Quantitative-Big-Imaging-2018/pull/9
kmader/Quantitative-Big-Imaging-2018,Add skan library demos,https://github.com/kmader/Quantitative-Big-Imaging-2018/issues/6
kmader/Quantitative-Big-Imaging-2018,Add link to binder DL course,https://github.com/kmader/Quantitative-Big-Imaging-2018/issues/4
mala-project/mala,Implement mechanism to reorder tests,https://github.com/mala-project/mala/issues/478
mala-project/mala,Lazy loading with prefetching seems to hang in test suite,https://github.com/mala-project/mala/issues/477
mala-project/mala,OpenPMD interface fails after LAMMPS usage,https://github.com/mala-project/mala/issues/476
mala-project/mala,`examples_test.py` cannot be run in parallel,https://github.com/mala-project/mala/issues/475
mala-project/mala,Tests in `examples_test.py` fail when run from outside the `test` dir,https://github.com/mala-project/mala/issues/474
mala-project/mala,MALA v1.2.0,https://github.com/mala-project/mala/pull/471
mala-project/mala,Is it possible to simplify the installation with a package manager like conda?,https://github.com/mala-project/mala/issues/470
mala-project/mala,Building TEM with `cmake`-built QE not supported,https://github.com/mala-project/mala/issues/468
mala-project/mala,MALA-DDP,https://github.com/mala-project/mala/pull/466
mala-project/mala,Implement Atomic forces,https://github.com/mala-project/mala/pull/462
mala-project/mala,Implement Active Learning,https://github.com/mala-project/mala/issues/423
mala-project/mala,Make learning rate rescale based on mini-batch size rather than # workers,https://github.com/mala-project/mala/issues/422
mala-project/mala,Revert pydocstyle command once update is released,https://github.com/mala-project/mala/issues/376
mala-project/mala,Implement density based observables,https://github.com/mala-project/mala/issues/291
mala-project/mala,Stopping criterion when too much is pruned,https://github.com/mala-project/mala/issues/284
mala-project/mala,Use Make to build the doc,https://github.com/mala-project/mala/issues/283
mala-project/mala,Docker image + Conda environment for use with GPUs,https://github.com/mala-project/mala/issues/278
mala-project/mala,Improve speed of cpu test workflow with GitHub's action strategy,https://github.com/mala-project/mala/issues/272
mala-project/mala,"Combine Docker images, CPU+GPU?",https://github.com/mala-project/mala/issues/271
mala-project/mala,Find out why parallel MD calculation stops ,https://github.com/mala-project/mala/issues/234
mala-project/mala,Make ensemble trainings natively possible,https://github.com/mala-project/mala/issues/171
mala-project/mala,Future data repositories - where to store them?,https://github.com/mala-project/mala/issues/165
mala-project/mala,Implement forces,https://github.com/mala-project/mala/issues/156
mala-project/mala,Open tasks in migrating repository,https://github.com/mala-project/mala/issues/61
mala-project/mala,Use horovod for lazy-loading-like functionality,https://github.com/mala-project/mala/issues/40
mala-project/mala,UPDATE: Extend/Improve CI,https://github.com/mala-project/mala/issues/13
unifyai/gym,Running Demos,https://github.com/unifyai/gym/issues/19
mmphego/face_mask_detection_openvino,ValueError: invalid literal for int() with base 10: 'custom_releases/2020/1_d349c3ba4a2508be72f413fa4dee92cc0e4bc0e1',https://github.com/mmphego/face_mask_detection_openvino/issues/6
SvenBecker/vscode-pytorch,dataloader not working,https://github.com/SvenBecker/vscode-pytorch/issues/10
SvenBecker/vscode-pytorch,Import issues,https://github.com/SvenBecker/vscode-pytorch/issues/9
SvenBecker/vscode-pytorch,'freeze' syntax is incorrect and PyTorch won't tell you,https://github.com/SvenBecker/vscode-pytorch/issues/8
SvenBecker/vscode-pytorch,`else:` always auto-fill in examples:sac snippets,https://github.com/SvenBecker/vscode-pytorch/issues/7
SvenBecker/vscode-pytorch,"In the debugger, how to step into the PyTroch module, such as, nn.Linear(), and etc.",https://github.com/SvenBecker/vscode-pytorch/issues/4
SvenBecker/vscode-pytorch,Jupyter support,https://github.com/SvenBecker/vscode-pytorch/issues/3
jolibrain/livedetect,fix: only update Preview stream once,https://github.com/jolibrain/livedetect/pull/19
jolibrain/livedetect,fix: display bounding box with different colors when predicting on multiple services,https://github.com/jolibrain/livedetect/issues/17
jolibrain/livedetect,$HOME/models is root:root,https://github.com/jolibrain/livedetect/issues/5
jarrellmark/ai_upscaler_for_blender,fixed boilerplate with addon infos,https://github.com/jarrellmark/ai_upscaler_for_blender/pull/4
jarrellmark/ai_upscaler_for_blender,Model choices ,https://github.com/jarrellmark/ai_upscaler_for_blender/issues/3
jarrellmark/ai_upscaler_for_blender,Compositor Node,https://github.com/jarrellmark/ai_upscaler_for_blender/issues/2
jarrellmark/ai_upscaler_for_blender,Headless rendering,https://github.com/jarrellmark/ai_upscaler_for_blender/issues/1
raspstephan/CBRAIN-CAM,How (where) to get the raw SPCAM data,https://github.com/raspstephan/CBRAIN-CAM/issues/17
raspstephan/CBRAIN-CAM,Extend to inequality constraints possible?,https://github.com/raspstephan/CBRAIN-CAM/issues/16
kristinbranson/APT,"in multiview, ctrl+f only zooms out if the first view has focus",https://github.com/kristinbranson/APT/issues/411
kristinbranson/APT,docker setup on Windows 11,https://github.com/kristinbranson/APT/issues/410
kristinbranson/APT,Deeplabcut files into APT then to JAABA,https://github.com/kristinbranson/APT/issues/409
kristinbranson/APT,training error? odd DIST plot,https://github.com/kristinbranson/APT/issues/408
kristinbranson/APT,CVE-2007-4559 Patch,https://github.com/kristinbranson/APT/pull/407
kristinbranson/APT,GUI niceity: movie numbers listed in tables,https://github.com/kristinbranson/APT/issues/403
kristinbranson/APT,zoom of reference image not stored,https://github.com/kristinbranson/APT/issues/402
kristinbranson/APT,"Shortcut to jump to break, end or start of any trajectory",https://github.com/kristinbranson/APT/issues/401
kristinbranson/APT,Shortcut to undo two click rotation,https://github.com/kristinbranson/APT/issues/398
kristinbranson/APT,multiview train fails with docker,https://github.com/kristinbranson/APT/issues/397
kristinbranson/APT,multiview track current movie errors,https://github.com/kristinbranson/APT/issues/396
kristinbranson/APT,"Path macros: enable ""on the fly"" macro-ization on new platform",https://github.com/kristinbranson/APT/issues/393
kristinbranson/APT,Free GPUs,https://github.com/kristinbranson/APT/issues/392
kristinbranson/APT,gui doesn't update when new trk file is imported,https://github.com/kristinbranson/APT/issues/390
kristinbranson/APT,import trk file as labels doesn't work,https://github.com/kristinbranson/APT/issues/387
kristinbranson/APT,Repackaging training data,https://github.com/kristinbranson/APT/issues/386
