Repository,Issue Title,Issue URL,Comment Count
fvalka/atc-reinforcement-learning,"How to eliminate ""invalid actions""",https://github.com/fvalka/atc-reinforcement-learning/issues/19,3
lacmus-foundation/lacmus-app,Shrink image padding in preview,https://github.com/lacmus-foundation/lacmus-app/issues/117,1
lacmus-foundation/lacmus-app,Аdd auto navigation of detect areas (bboxes),https://github.com/lacmus-foundation/lacmus-app/issues/65,1
lacmus-foundation/lacmus-app,The filter is not applied when changing the original collection,https://github.com/lacmus-foundation/lacmus-app/issues/49,2
lacmus-foundation/lacmus-app,Write unit tests and make build pipelines using git actions.,https://github.com/lacmus-foundation/lacmus-app/issues/29,1
mala-project/mala,OpenPMD interface fails after LAMMPS usage,https://github.com/mala-project/mala/issues/476,8
mala-project/mala,`examples_test.py` cannot be run in parallel,https://github.com/mala-project/mala/issues/475,1
mala-project/mala,Is it possible to simplify the installation with a package manager like conda?,https://github.com/mala-project/mala/issues/470,1
mala-project/mala,Docker image + Conda environment for use with GPUs,https://github.com/mala-project/mala/issues/278,1
mala-project/mala,Improve speed of cpu test workflow with GitHub's action strategy,https://github.com/mala-project/mala/issues/272,4
mala-project/mala,Make ensemble trainings natively possible,https://github.com/mala-project/mala/issues/171,1
mala-project/mala,Future data repositories - where to store them?,https://github.com/mala-project/mala/issues/165,2
mala-project/mala,Implement forces,https://github.com/mala-project/mala/issues/156,3
mala-project/mala,Open tasks in migrating repository,https://github.com/mala-project/mala/issues/61,3
mala-project/mala,Use horovod for lazy-loading-like functionality,https://github.com/mala-project/mala/issues/40,4
mala-project/mala,UPDATE: Extend/Improve CI,https://github.com/mala-project/mala/issues/13,16
unifyai/gym,Running Demos,https://github.com/unifyai/gym/issues/19,7
SvenBecker/vscode-pytorch,dataloader not working,https://github.com/SvenBecker/vscode-pytorch/issues/10,2
SvenBecker/vscode-pytorch,Import issues,https://github.com/SvenBecker/vscode-pytorch/issues/9,1
SvenBecker/vscode-pytorch,"In the debugger, how to step into the PyTroch module, such as, nn.Linear(), and etc.",https://github.com/SvenBecker/vscode-pytorch/issues/4,1
SvenBecker/vscode-pytorch,Jupyter support,https://github.com/SvenBecker/vscode-pytorch/issues/3,1
jolibrain/livedetect,$HOME/models is root:root,https://github.com/jolibrain/livedetect/issues/5,2
jarrellmark/ai_upscaler_for_blender,Headless rendering,https://github.com/jarrellmark/ai_upscaler_for_blender/issues/1,1
kristinbranson/APT,docker setup on Windows 11,https://github.com/kristinbranson/APT/issues/410,1
kristinbranson/APT,Deeplabcut files into APT then to JAABA,https://github.com/kristinbranson/APT/issues/409,1
kristinbranson/APT,training error? odd DIST plot,https://github.com/kristinbranson/APT/issues/408,6
kristinbranson/APT,GUI niceity: movie numbers listed in tables,https://github.com/kristinbranson/APT/issues/403,1
kristinbranson/APT,zoom of reference image not stored,https://github.com/kristinbranson/APT/issues/402,1
kristinbranson/APT,"Shortcut to jump to break, end or start of any trajectory",https://github.com/kristinbranson/APT/issues/401,2
kristinbranson/APT,"Path macros: enable ""on the fly"" macro-ization on new platform",https://github.com/kristinbranson/APT/issues/393,1
kristinbranson/APT,Free GPUs,https://github.com/kristinbranson/APT/issues/392,2
kristinbranson/APT,import trk file as labels doesn't work,https://github.com/kristinbranson/APT/issues/387,2
kristinbranson/APT,Repackaging training data,https://github.com/kristinbranson/APT/issues/386,2
kristinbranson/APT,in MA branch - scroll wheel bug,https://github.com/kristinbranson/APT/issues/376,2
kristinbranson/APT,Calibration file won't load,https://github.com/kristinbranson/APT/issues/375,23
kristinbranson/APT,"""NaN"" Training: git repo error?",https://github.com/kristinbranson/APT/issues/365,19
kristinbranson/APT,video cropping issue,https://github.com/kristinbranson/APT/issues/363,10
kristinbranson/APT,Assertion failed + partially-labeled rows,https://github.com/kristinbranson/APT/issues/361,19
rakutentech/stAdv,About a problem of the demo,https://github.com/rakutentech/stAdv/issues/4,17
BirdVox/birdvoxdetect,ERROR: Could not find a version that satisfies the requirement ...,https://github.com/BirdVox/birdvoxdetect/issues/95,1
BioSystemsUM/DeepMol,"""megnet_model"" is not working (error with torch_geometric (extra_requirement))",https://github.com/BioSystemsUM/DeepMol/issues/91,1
TuragaLab/DECODE,Add all relevant (hyper)params to tensorboard,https://github.com/TuragaLab/DECODE/issues/47,1
TuragaLab/DECODE,Change x/y axis,https://github.com/TuragaLab/DECODE/issues/42,2
TuragaLab/DECODE,Multiprocessing / multiple workers on Windows,https://github.com/TuragaLab/DECODE/issues/24,2
castorini/honkling, Is this project still under maintenance?,https://github.com/castorini/honkling/issues/125,2
CDDLeiden/DrugEx,Hello,https://github.com/CDDLeiden/DrugEx/issues/2,6
zackbatist/open-archaeo,New tag: aDNA kinship,https://github.com/zackbatist/open-archaeo/issues/25,3
zackbatist/open-archaeo,"Not just ""What do we have?"" but also ""What is missing?""",https://github.com/zackbatist/open-archaeo/issues/1,20
IBM/simulai,"Doctrings for Optimization, SymbolicOperator and Losses",https://github.com/IBM/simulai/issues/116,1
jhu-lcsr/costar_plan,"add block stacking loading code to costar_dataset, support pytorch",https://github.com/jhu-lcsr/costar_plan/issues/554,1
jhu-lcsr/costar_plan,Hypertree model inference,https://github.com/jhu-lcsr/costar_plan/pull/547,3
jhu-lcsr/costar_plan,Running block stacking network models on the real robot,https://github.com/jhu-lcsr/costar_plan/issues/516,1
jhu-lcsr/costar_plan,ENAS integration,https://github.com/jhu-lcsr/costar_plan/issues/502,1
jhu-lcsr/costar_plan,figure out pixel-wise training problem,https://github.com/jhu-lcsr/costar_plan/issues/401,1
jhu-lcsr/costar_plan,Grasp Keras-FCN ResNet model with pretrained weights and a late concatenation ,https://github.com/jhu-lcsr/costar_plan/issues/389,1
jhu-lcsr/costar_plan,Grasp Vizualization: Evaluate pixel relative offset at every pixel with single gripper pose offset model,https://github.com/jhu-lcsr/costar_plan/issues/381,2
jhu-lcsr/costar_plan,grasp_train.py integrate pixel-wise loss option,https://github.com/jhu-lcsr/costar_plan/issues/366,1
jhu-lcsr/costar_plan,300 Epoch Training Run - Spatial Grasp Prediction,https://github.com/jhu-lcsr/costar_plan/issues/297,3
JuliaPOMDP/DeepQLearning.jl,"Tests still contain ""using RLInterface""",https://github.com/JuliaPOMDP/DeepQLearning.jl/issues/63,4
JuliaPOMDP/DeepQLearning.jl,Problem with reading log files,https://github.com/JuliaPOMDP/DeepQLearning.jl/issues/43,1
JuliaPOMDP/DeepQLearning.jl,Support of AbtractEnvironment,https://github.com/JuliaPOMDP/DeepQLearning.jl/issues/34,2
rindow/rindow-neuralnetworks,How to use it to make ranking value for searches results ???,https://github.com/rindow/rindow-neuralnetworks/issues/4,1
rindow/rindow-neuralnetworks,"How to implement this type of ""Transformer"" machine learning model with the ""rindow-neuralnetworks"" Package ???",https://github.com/rindow/rindow-neuralnetworks/issues/3,1
rindow/rindow-neuralnetworks,How to make predictions via LSTM type recurrent neural networks algorithm ???,https://github.com/rindow/rindow-neuralnetworks/issues/1,4
vocalpy/vak,BUG: vak prep fails for learncurve when train_set_durs and replicates are not in prep section,https://github.com/vocalpy/vak/issues/678,1
vocalpy/vak,ENH: Add AVA models and datasets,https://github.com/vocalpy/vak/issues/674,9
vocalpy/vak,ENH: Add DAS models + datasets,https://github.com/vocalpy/vak/issues/630,2
a-n-rose/Python-Sound-Tool,ASL-56 (ITU-T),https://github.com/a-n-rose/Python-Sound-Tool/issues/9,1
ambianic/fall-detection,feat: retrain fall detect model with TFLite Model Maker and more local data,https://github.com/ambianic/fall-detection/pull/35,9
ambianic/fall-detection,[BUG] pose_engine.py runtime exception,https://github.com/ambianic/fall-detection/issues/12,5
ambianic/fall-detection,Optimize CPU usage - rotate image only if there is a standing up pose in the frame buffer,https://github.com/ambianic/fall-detection/issues/7,2
ambianic/fall-detection,"False positive - people bending over intentionally, not falling",https://github.com/ambianic/fall-detection/issues/2,3
ambianic/fall-detection,Implement more test cases based on public and user contributed video and image data of elderly falls,https://github.com/ambianic/fall-detection/issues/4,3
ambianic/fall-detection,move fall detection library out of ambianic-edge into independent pypi package,https://github.com/ambianic/fall-detection/issues/1,2
ambianic/fall-detection,"Upgrade pose detection from PoseNet MobileNetV1 to MoveNet, PoseNet 2.0 ResNet50, or BlazePose",https://github.com/ambianic/fall-detection/issues/5,10
ENSTA-U2IS/torch-uncertainty,Pretrained parameters,https://github.com/ENSTA-U2IS/torch-uncertainty/issues/11,1
tensordot/syntaxdot,cannot use syntaxdot for symbol lookup error,https://github.com/tensordot/syntaxdot/issues/220,11
tensordot/syntaxdot,sentencepiece when running cargo install,https://github.com/tensordot/syntaxdot/issues/199,1
emer/leabra,"stty behaviour, pyleabra",https://github.com/emer/leabra/issues/18,1
lanagarmire/deepimpute,text.csv need tobe mormalized?or not?,https://github.com/lanagarmire/deepimpute/issues/30,1
lanagarmire/deepimpute,KeyError when fitting,https://github.com/lanagarmire/deepimpute/issues/21,2
lanagarmire/deepimpute,Warning and error for the example data,https://github.com/lanagarmire/deepimpute/issues/15,11
pytorchfi/pytorchfi,Using PytorchFI in a notebook,https://github.com/pytorchfi/pytorchfi/issues/90,2
pytorchfi/pytorchfi,Problem with Faster RCNN,https://github.com/pytorchfi/pytorchfi/issues/83,3
pytorchfi/pytorchfi,Implementing bitflips in training,https://github.com/pytorchfi/pytorchfi/issues/39,3
Fontinalis/fonet,Outputs only between 0 and 1,https://github.com/Fontinalis/fonet/issues/2,2
PrincetonUniversity/PsyNeuLink,requirements: update pandas requirement from <2.0.4 to <2.1.1,https://github.com/PrincetonUniversity/PsyNeuLink/pull/2792,2
PrincetonUniversity/PsyNeuLink,"requirements: update numpy requirement from <1.24.4,>=1.19.0 to >=1.19.0,<1.25.3",https://github.com/PrincetonUniversity/PsyNeuLink/pull/2757,8
PrincetonUniversity/PsyNeuLink,ControlSignal costs are calculated twice,https://github.com/PrincetonUniversity/PsyNeuLink/issues/2721,7
PrincetonUniversity/PsyNeuLink,Missing line from documentation comment,https://github.com/PrincetonUniversity/PsyNeuLink/issues/2717,1
PrincetonUniversity/PsyNeuLink,TransferWithCosts: Intensity cost is `[1]` even when intensity cost is disabled,https://github.com/PrincetonUniversity/PsyNeuLink/issues/2711,1
PrincetonUniversity/PsyNeuLink,requirements: update pint requirement from <0.22.0 to <0.23.0,https://github.com/PrincetonUniversity/PsyNeuLink/pull/2679,3
PrincetonUniversity/PsyNeuLink,llvm: _comp_cached: handle weakref proxy/ref caching,https://github.com/PrincetonUniversity/PsyNeuLink/pull/2674,2
PrincetonUniversity/PsyNeuLink,Integrate more optimization algorithms into PEC,https://github.com/PrincetonUniversity/PsyNeuLink/issues/2659,2
PrincetonUniversity/PsyNeuLink,typecheck-decorator crashes with np.array values of len > 1,https://github.com/PrincetonUniversity/PsyNeuLink/issues/2494,1
PrincetonUniversity/PsyNeuLink,llvm: Add cleanup destruction check,https://github.com/PrincetonUniversity/PsyNeuLink/pull/2474,11
PrincetonUniversity/PsyNeuLink,requirements: update sphinx-autodoc-typehints requirement from <1.16.0 to <1.19.0,https://github.com/PrincetonUniversity/PsyNeuLink/pull/2386,18
PrincetonUniversity/PsyNeuLink,Updated Huston Cohen 1994 model,https://github.com/PrincetonUniversity/PsyNeuLink/pull/2222,8
PrincetonUniversity/PsyNeuLink,Documentation for Running Composition in Compiled Mode,https://github.com/PrincetonUniversity/PsyNeuLink/issues/2197,1
online-ml/deep-river,Multifeature Output,https://github.com/online-ml/deep-river/issues/81,1
online-ml/deep-river,Implement river forecasting as many to many prediction,https://github.com/online-ml/deep-river/issues/69,4
delve-team/delve,ConvTranspose2d layers not being tracked,https://github.com/delve-team/delve/issues/43,6
yzhuoning/LibAUC,How to train multi-label classification tasks? (like chexpert),https://github.com/yzhuoning/LibAUC/issues/8,4
yzhuoning/LibAUC,Where is the source code?,https://github.com/yzhuoning/LibAUC/issues/7,2
yzhuoning/LibAUC,Multiclass,https://github.com/yzhuoning/LibAUC/issues/5,1
yzhuoning/LibAUC,Example for tensorflow,https://github.com/yzhuoning/LibAUC/issues/4,1
tcapelle/termGPT,Update Anthropic Client,https://github.com/tcapelle/termGPT/issues/3,2
learningOrchestra/mlToolKits,Missing error handling in Data type microservice,https://github.com/learningOrchestra/mlToolKits/issues/104,4
learningOrchestra/mlToolKits,How facilitates the infrastructure requirements to users?,https://github.com/learningOrchestra/mlToolKits/issues/96,5
learningOrchestra/mlToolKits,Improve the website,https://github.com/learningOrchestra/mlToolKits/issues/92,14
learningOrchestra/mlToolKits,Improve Docs,https://github.com/learningOrchestra/mlToolKits/issues/91,30
learningOrchestra/mlToolKits,Implement tests in microservices,https://github.com/learningOrchestra/mlToolKits/issues/90,21
learningOrchestra/mlToolKits,Promoting learningOrchestra- Ideas,https://github.com/learningOrchestra/mlToolKits/issues/79,30
learningOrchestra/mlToolKits,Publish spark and spark_task images on public registry and use it in dependent microservices,https://github.com/learningOrchestra/mlToolKits/issues/63,14
learningOrchestra/mlToolKits,Enable download of csv datasets in file format,https://github.com/learningOrchestra/mlToolKits/issues/62,3
JulesBelveze/bert-squeeze,Can it be used in the speech enhancement ?,https://github.com/JulesBelveze/bert-squeeze/issues/40,3
DlutMedimgGroup/AnatomySketch-Software,在本地无法运行腹部分割dense_vnet_abdominal_ct模型,https://github.com/DlutMedimgGroup/AnatomySketch-Software/issues/3,1
DlutMedimgGroup/AnatomySketch-Software,编译问题,https://github.com/DlutMedimgGroup/AnatomySketch-Software/issues/2,3
DlutMedimgGroup/AnatomySketch-Software,Program flashback,https://github.com/DlutMedimgGroup/AnatomySketch-Software/issues/1,1
yuyq96/D-TDNN,实验细节的疑问,https://github.com/yuyq96/D-TDNN/issues/5,1
yuyq96/D-TDNN,questions about model training,https://github.com/yuyq96/D-TDNN/issues/4,4
yuyq96/D-TDNN,the difference between kaldifeat-kaldi and kaldifeat-python?,https://github.com/yuyq96/D-TDNN/issues/3,4
yuyq96/D-TDNN,针对论文的一些疑问,https://github.com/yuyq96/D-TDNN/issues/2,10
yuyq96/D-TDNN,你好，请问在训练过程中是否采用了kaldi中加混响，加增噪音的数据增强手段？,https://github.com/yuyq96/D-TDNN/issues/1,12
BigDataBiology/SemiBin,Multi-sample approach and bowtie2-build,https://github.com/BigDataBiology/SemiBin/issues/144,4
BigDataBiology/SemiBin,Database Download & Documentation,https://github.com/BigDataBiology/SemiBin/issues/141,1
BigDataBiology/SemiBin,SemiBin crashes when the last batch has only one element,https://github.com/BigDataBiology/SemiBin/issues/137,1
BigDataBiology/SemiBin,KeyError,https://github.com/BigDataBiology/SemiBin/issues/133,5
BigDataBiology/SemiBin,Failing to index concatenated fasta,https://github.com/BigDataBiology/SemiBin/issues/130,1
BigDataBiology/SemiBin,Error running single_easy_bin on coassembly,https://github.com/BigDataBiology/SemiBin/issues/129,2
BigDataBiology/SemiBin,mtrand.pyx,https://github.com/BigDataBiology/SemiBin/issues/121,14
april-org/april-ann,build error,https://github.com/april-org/april-ann/issues/192,2
april-org/april-ann,Coding style guide,https://github.com/april-org/april-ann/issues/73,1
april-org/april-ann,"Move function get_replacement_dataset(randObject, replacementSize, ...) to utils/dataset",https://github.com/april-org/april-ann/issues/13,2
Project-DC/pygeneses,[FEATURE] Generate logs for prima vita #5,https://github.com/Project-DC/pygeneses/issues/128,2
Project-DC/pygeneses,[FEATURE] Generate logs for prima vita #13,https://github.com/Project-DC/pygeneses/issues/120,2
Project-DC/pygeneses,[FEATURE] Generate logs for prima vita #14,https://github.com/Project-DC/pygeneses/issues/119,2
Project-DC/pygeneses,[FEATURE] Generate logs for prima vita #15,https://github.com/Project-DC/pygeneses/issues/118,1
calico/solo,Error using h5ad file,https://github.com/calico/solo/issues/78,1
calico/solo,Hashsolo failing when only two HTOs are present? ,https://github.com/calico/solo/issues/77,2
calico/solo,Problem with hashsolo,https://github.com/calico/solo/issues/74,9
calico/solo,Problem with loom file,https://github.com/calico/solo/issues/56,10
calico/solo,Create notebook showing how to use and the benefits of Solo,https://github.com/calico/solo/issues/41,1
calico/solo,Add batching to Solo,https://github.com/calico/solo/issues/28,2
IBM/MAX-Image-Caption-Generator-Web-App,Deployment on Kubernetes/RHOS fails: Cannot connect to the Image Caption Generator REST endpoint ,https://github.com/IBM/MAX-Image-Caption-Generator-Web-App/issues/58,3
bio-ontology-research-group/deepgoplus,How to read (data deepgo/'+ont+'. pk) files,https://github.com/bio-ontology-research-group/deepgoplus/issues/51,3
bio-ontology-research-group/deepgoplus,Evaluate the predictions.pkl provided on CAFA3 with CAFA_assessment_tool,https://github.com/bio-ontology-research-group/deepgoplus/issues/47,11
bio-ontology-research-group/deepgoplus,predict.py - gzip fails to open ASCII file,https://github.com/bio-ontology-research-group/deepgoplus/issues/46,3
bio-ontology-research-group/deepgoplus,DeepGOPlus code vs DeepGOWeb server inconsistencies,https://github.com/bio-ontology-research-group/deepgoplus/issues/40,3
bio-ontology-research-group/deepgoplus,go.obo uploaded on 01-Dec-2019,https://github.com/bio-ontology-research-group/deepgoplus/issues/38,1
bio-ontology-research-group/deepgoplus,Where the train_data.pkl and test_data.pkl uploaded on 02-Dec-2019 came from? ,https://github.com/bio-ontology-research-group/deepgoplus/issues/37,11
bio-ontology-research-group/deepgoplus,categorising the result ,https://github.com/bio-ontology-research-group/deepgoplus/issues/36,3
bio-ontology-research-group/deepgoplus,"Running Example, pandas/pickle issues",https://github.com/bio-ontology-research-group/deepgoplus/issues/33,2
bio-ontology-research-group/deepgoplus,diamond version Error,https://github.com/bio-ontology-research-group/deepgoplus/issues/32,2
kailaix/AdFem.jl,Problem with build in Julia 1.8.5,https://github.com/kailaix/AdFem.jl/issues/21,1
kailaix/AdFem.jl,About docker usage,https://github.com/kailaix/AdFem.jl/issues/17,4
kailaix/AdFem.jl,Error: Error building `AdFem`,https://github.com/kailaix/AdFem.jl/issues/11,14
kailaix/AdFem.jl,Building error on macOS,https://github.com/kailaix/AdFem.jl/issues/10,9
PopicLab/cue,pysam pysam/libcbcf.pyx error when opening vcf.format file,https://github.com/PopicLab/cue/issues/21,1
PopicLab/cue,Linked reads model,https://github.com/PopicLab/cue/issues/20,5
PopicLab/cue,TypeError: only integer tensors of a single element can be converted to an index,https://github.com/PopicLab/cue/issues/18,2
maddin79/darch,darch for dimensionality reduction,https://github.com/maddin79/darch/issues/32,3
maddin79/darch,Remove data from dataset ,https://github.com/maddin79/darch/issues/31,1
maddin79/darch,offer to best model for preTrainDArch,https://github.com/maddin79/darch/issues/30,3
maddin79/darch,minimizeAutoencoder,https://github.com/maddin79/darch/issues/14,1
fzi-forschungszentrum-informatik/TSInterpret,[Q] some fault of svs,https://github.com/fzi-forschungszentrum-informatik/TSInterpret/issues/27,7
sony/nnabla-ext-cuda,When is the next release planned?,https://github.com/sony/nnabla-ext-cuda/issues/470,2
sony/nnabla-ext-cuda,Fix F.clip_grad_by_norm in the case of small norm,https://github.com/sony/nnabla-ext-cuda/pull/201,1
coreylammie/MemTorch,Using nonlinear non ideality gives an error,https://github.com/coreylammie/MemTorch/issues/151,1
coreylammie/MemTorch,Jupyter Notebook Dead Kernal when running Exemplar_Simulations.ipynb,https://github.com/coreylammie/MemTorch/issues/130,6
coreylammie/MemTorch,Can not use Memtorch CUDA on Windows 10,https://github.com/coreylammie/MemTorch/issues/108,7
coreylammie/MemTorch,Add Support for `torch.nn.LSTM` and `torch.nn.LSTMCell` Modules,https://github.com/coreylammie/MemTorch/issues/93,2
coreylammie/MemTorch,Add Support for `torch.nn.RNN` and `torch.nn.RNNCell` Modules,https://github.com/coreylammie/MemTorch/issues/92,1
coreylammie/MemTorch,Implementation of RNNs,https://github.com/coreylammie/MemTorch/issues/90,1
coreylammie/MemTorch,quantiztion and non-idealities factor,https://github.com/coreylammie/MemTorch/issues/86,11
coreylammie/MemTorch,Parallelize/Optimize Device Simulation Logic,https://github.com/coreylammie/MemTorch/issues/53,5
sustainlab-group/africa_poverty,data preprocessing,https://github.com/sustainlab-group/africa_poverty/issues/5,1
fhalab/MLDE,"where is ""GB1_T2Q_transformer_TempOutputs.pkl""?",https://github.com/fhalab/MLDE/issues/6,1
fhalab/MLDE,Blas GEMM launch failed,https://github.com/fhalab/MLDE/issues/4,3
